pragma:peephole off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:scheduling off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:global_optimizer off	-	probeA=other probeB=invert probeC=invert probeD=branchless
pragma:global_optimizer on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:optimize_for_size on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:optimization_level 0	-	probeA=other probeB=other probeC=invert probeD=branchless
pragma:optimization_level 1	-	probeA=other probeB=other probeC=invert probeD=branchless
pragma:optimization_level 2	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:optimization_level 3	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:optimization_level 4	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_propagation off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_dead_code off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_dead_assignments off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_lifetimes off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_common_subs off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_strength_reduction off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_strength_reduction_strict on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_loop_invariants off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_unroll_loops off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_vectorize_loops off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:opt_pointer_analysis off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:ppc_opt_bclr_bcctr off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:ppc_opt_bclr_bcctr on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:gen_fsel off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:gen_fsel always	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:gen_isel on	-	probeA=other probeB=other probeC=other probeD=branchless
pragma:defer_codegen on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:defer_codegen off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:inline_bottom_up on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:inline_bottom_up off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:auto_inline off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:optimizewithasm on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:optimizewithasm off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:disable_registers on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:profile on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:ibm_stackframe on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:no_register_save_helpers on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:switch_tables off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:prepare_compress on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:gprfloatcopy off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:block_assign on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:has8bytebitfields on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:optEH off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:optEH2 off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:suppress_init_code on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:side_effects off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:explicit_zero_data on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:readonly_strings on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:misaligned_mem_access on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:misaligned_mem_access off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:unsafe_global_reg_vars on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:ignore_global_reg_vars on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:longlong_prepeval on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:float_constants on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:experimental on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:gcc_extensions on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:cpp_extensions off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:ANSI_strict on	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:defer_codegen on + peephole off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:peephole off + scheduling off	-	probeA=invert probeB=invert probeC=invert probeD=branchless
pragma:global_optimizer off + peephole off	-	probeA=other probeB=invert probeC=invert probeD=branchless
pragma:global_optimizer off + peephole off + scheduling off	-	probeA=other probeB=invert probeC=invert probeD=branchless
